Clt_No,Po_No,Accumulate,Surveyor,Survey_date,Insured_name,Risk_location,DIV,CTR,CLS,STT,Effective_date,Inception_date,Renew_date,Contract_type,Rkn,Risk_type,Original_SI,VND_SI,Survey date1,Survey date 2,Survey date 3,Survey date 4,Survey date 5,Survey date 6,Survey date 7,Survey date 8,Survey date 9,Fire code,Agent name,Occupation,Business Line,Remark,Month,Year
10001130,20025260,BDBCMP3LOD,CA,,TOYOTSU SAFETY & AUTOMOTIVE COMPONENTS (VIET NAM) COMPANY,"TAKAYOSHI VIETNAM CO., LTD/Toyotsu Vehitecs, TT-4-5-6, Lot D_7M_CN, My Phuoc 3 IP, Ben Cat, Binh Duong",VC,JPN,D,IF,01/06/2019,01/02/2019,31/01/2020,ISR - INDUSTRIAL ALL RISKS,2,ARB - PROPERTY ALL RISKS,"5,068,379.00","117,586,597,425.00",20151204,,,,,,20151204,,,18.1AB,TOYOTA TSUSHO-BRK-VC,Garments for uniform and Sport Casual,Garments for uniform and Sport Casual Production and processing of air bag and baneuke ,Delay by Broker,,
10003375,20034163,VPBXBT2C32,,,VIETNAM SANWA CORPORATION,"VIETNAM SANWA CORPORATION, Plot C3-2, Ba Thien 2 IP, Thien Ke, Binh Xuyen, Vinh Phuc",VH,JPN,E,IF,06/06/2019,06/06/2019,05/06/2020,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"35,117,160,246.00","35,117,160,246.00",,,,,,,,,,18.2A,DIRECT HANOI,Manufacturing and processing metal product,  ,,,
10002126,20008732,BGVYQCINOU,,,"INOUE VIETNAM CO., LTD","INOUE VIETNAM CO., LTD, Lot 4, Quang Chau IP, Viet Yen Dist,, Bac Giang",VH,JPN,D,IF,01/06/2020,27/06/2019,26/06/2020,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"32,679,085,178.00","32,679,085,178.00",20170424,,,,20170424,,,20141219,,18.1AB,DIRECT HANOI,Rubber product of motor bike,  ,,,
10019318,20044666,BDDAB24445,,,NIPPON KONPO HO CHI MINH INC-BRANCH IN BINH DUONG,"Nippon Konpo HCMC - Warehouse, B2-44, 45, 46, 47 Rd 1, Tan Dong Hiep B IZ, Di An, Binh Duong",VH,JPN,D,IF,29/05/2020,15/08/2019,14/08/2020,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"367,754,499,681.00","367,754,499,681.00",20200529,20200529,,,,,,,,17.2A,DIRECT HANOI,Transportation Service,  ,,,
10011439,20029529,DNBHICDLB1,,,MITSUI FOODS INC,"ICD TAN CANG - LONG BINH WAREHOUSE - No.7,8,14,14A, G243 Bui Van Hoa, KP 7, Long Binh, Bien Hoa, Dong Nai",VH,GBR,E,IF,01/05/2020,11/10/2019,10/10/2020,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"3,000,000.00","69,330,000,000.00",,,,,,,,,,17.1B,DIRECT HANOI,Food and Beverage Importer and Distributor,  ,,,
10009082,20025002,HNDTDV3KU,,,"KUWANA CO.,LTD","KUWANA CO.,LTD, Dong Van III Industrial Zones, Duy Tien District,, Ha Nam",VH,JPN,E,IF,05/02/2021,12/02/2020,11/02/2021,ISR - INDUSTRIAL ALL RISKS,2,ARB - PROPERTY ALL RISKS,"74,187,062,866.00","74,187,062,866.00",,,,,,,,,,18.1AB,DIRECT HANOI,As above,"Manufacturing, processing and assembling various kinds of plastic parts and products ",,,
10009396,20025543,LADHDINGTA,NNH,10/10/2022,"DING SHENG PLASTIC CO.,LTD","DINGTAI INDUSTRIAL COMPANY LIMITED, Lot B05-1, Duc Hoa 1 IZ, Duc Hoa Dong, Duc Hoa Dis, Long An",MS,TWN,E,IF,27/10/2020,25/02/2020,24/02/2021,FEC - FIRE AND EXPL COMP,1,FEC - COMPULSORY FIRE and EXPLOSION,"88,939,053,397.00","88,939,053,397.00",20181204,,,20181204,20170714,,,,,18.1AB,DIRECT-TAIWAN SOUTH ,Plastic outsole,  ,,10,2022
10000022,20015553,BDTDMHPVSI,,,"UCHIHASHI VIETNAM CO., LTD.","UCHIHASHI VIETNAM CO., LTD, 23 VSIP 2 Street 4,Hoa Phu Ward, Thu Dau Mot Town, Binh Duong",VC,JPN,D,IF,01/02/2021,05/03/2020,04/03/2021,ARC - PROPERTY ALL RISKS,1,ARB - PROPERTY ALL RISKS,"1,177,845,566.00","246,169,723,294.00",20180111,,,20180111,,,20150420,,,18.1AB,DIRECT HCM,Manufacturing fuse and solder,  ,,,
10039422,20066217,HYVLHAIXIN,,,VIETNAM HAIXIN NEW MATERIALS CO. LTD,"VIETNAM HAIXIN NEW MATERIALS CO. LTD, B3 Road, Zone B, Pho Noi A IZ, Lac Hong, Van Lam, Hung Yen",VH,CNY,E,IF,02/04/2020,01/04/2020,31/03/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"14,111,682.00","330,354,475,620.00",,,,,,,,,,18.1AB,DIRECT HANOI,Manufacturing PVC Floor Covering,  ,,,
10000184,20021209,DNBHAM1501,,,"NICCA VIETNAM CO., LTD","NICCA VIETNAM, Lot 105/1, Amata Road, Long Binh IP, Long Binh, Dong Nai",VC,JPN,D,AR,29/04/2021,16/10/2020,28/04/2021,ISR - INDUSTRIAL ALL RISKS,2,ARB - PROPERTY ALL RISKS,"32,890,036,957.00","32,890,036,957.00",,,,,,,,,,18.1AB,DIRECT HCM,As mentioned above,Manufacture of surface active agents (surfactants)  ,,,
10002155,20095791,DNBHICD-11,,,SUMITOMO WAREHOUSE (VIETNAM) COMPANY LIMITED,"ICD TAN CANG - LONG BINH WAREHOUSE - No. 11, G243 Bui Van Hoa, KP 7, Long Binh, Bien Hoa, Dong Nai",VC,JPN,E,IF,04/09/2021,04/09/2021,03/10/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"400,000,000.00","84,640,000,000.00",,,,,,,,,,17.1B,DIRECT HCM,"Warehousemen, Logistics",  ,,,
10027484,20077805,DNBHICD-02,CA,,TORAY INDUSTRIES (HK) LTD.,"ICD TAN CANG - LONG BINH WAREHOUSE - No. 02, G243 Bui Van Hoa, KP 7, Long Binh, Bien Hoa, Dong Nai",VH,CNY,E,RR,30/10/2021,30/10/2020,29/10/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"1,018,375.00","23,605,932,500.00",,,,,,,,,,17.1B,DIRECT HANOI,Manufacturing Apparel,  ,"Low SI, as per new guideline",,
10051670,20093001,HNTTHLNDCC,TDH,27/04/2022,NIDEC CHAUN CHOUNG VIETNAM CORPORATION,"NIDEC CHAUN CHOUNG VIETNAM CORPORATION, Lot CN1-05-5, High-tech IZ, Hoa Lac, Thach That, Ha Noi",VH,JPN,C,RR,01/11/2021,01/06/2021,31/10/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"18,860,000.00","434,723,000,000.00",,,,,,,,,,18.2A,MARSH-BRK-VH,As above,Manufacturing Parts for Electrical Equipment and others  ,,4,2022
10001702,20007040,SGD9SHPNID,,,NIDEC COPAL PRECISION VIETNAMCORPORATION,"NIDEC COPAL PRECISION VIETNAM CORPORATION, Lot I-1d-1,Road N1,Saigon Hi Tech Park, Dist 9, HCMC",VC,JPN,C,RR,01/11/2021,01/11/2020,31/10/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"97,188,733.00","2,252,836,699,432.00",20140730,,,,,,,20140730,,18.2A,MARSH-BRK-VC,Manufacturer of electronic telephone devices,  ,,,
10024996,20057249,SGD7TTEPZN,,,NIDEC COPAL PRECISION VIETNAMCORPORATION-TAN THUAN BRANCH,"NIDEC COPAL VIETNAM CO., LTD, CR1.04B-06-10-12-14-16, St.8,Tan Thuan EPZ, Dist 7, HCMC",VC,JPN,C,RR,01/11/2021,01/11/2020,31/10/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"39,763,631.00","921,720,966,580.00",,,,,,,,,,18.2A,MARSH-BRK-VC,As described above,Manufacturer of Vibrating Motors for Hand Phones  ,,,
10001145,20046845,HNMLQMNIDE,TDH,18/05/2022,NIDEC SANKYO VIETNAM (HANOI) CORPORATION,"NIDEC SANKYO VIETNAM (HANOI) CORPORATION, Lot 37, Quang Minh IZ, Me Linh, Ha Noi",VH,JPN,E,RR,01/11/2021,01/11/2020,31/10/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"68,726,434.00","1,593,078,740,120.00",20181210,,,20181210,,,,,,18.1AB,MARSH-BRK-VH,Manufacturing Molds for Precision Plastics,  ,,5,2022
10000837,20024108,SGD7TTNTVC,,,"NIDEC TOSOK (VIETNAM) CO.,LTD","NIDEC TOSOK (VIETNAM) CO.,- NTVC, Road No 16, Tan Thuan EPZ, district 7, HCMC",VC,JPN,C,RR,01/11/2021,01/11/2020,31/10/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"31,084,696,445.00","6,838,633,217,900.00",20141217,,,,,,,20141217,,18.2A,MARSH-BRK-VC,As mentioned above,"Manufacturing parts for Electrical Equipment, Automobiles  ",,,
10000836,20003072,SGD7TTNIDE,,,"NIDEC TOSOK AKIBA (VIETNAM) CO.,LTD","NIDEC TOSOK AKIBA (VIETNAM) CO.,LTD, Lot R.49b-50, Road 16, Tan Thuan EPZ, District 7, HCMC",VC,JPN,D,RR,01/11/2021,01/11/2020,31/10/2021,ISR - INDUSTRIAL ALL RISKS,2,LOP - LOSS OF PROFIT,"9,715,511.00","225,448,432,755.00",,,,,,,,,,18.2A,MARSH-BRK-VC,Processing of Die casting,  ,,,
10000832,20003054,SGD9NIDECV,,,NIDEC VIETNAM CORPORATION,"NIDEC VIETNAM CORPORATION, I1/N2 Saigon Hi Tech Park, District 9, HCMC",VC,JPN,C,RR,01/11/2021,01/11/2020,31/10/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"109,162,941.00","2,530,396,972,380.00",20170801,,,,20170801,,,20140709,,18.2A,MARSH-BRK-VC,As mentioned above,Manufacturing Parts for Electrical Equipment and others  ,,,
10018713,20073150,HNTTHBPAUT,,,"AUTO SYSTEM VIETNAM CO., LTD","AUTO SYSTEM VIETNAM CO., LTD, Ha Binh Phuong IZ, Van Binh Commune, Thuong Tin, Ha Noi",VH,JPN,D,IF,06/10/2021,07/08/2020,06/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"63,812,584,662.00","63,812,584,662.00",,,,,,,,,,18.1AB,DIRECT HANOI,Process of wire harness,  ,,,
10004228,20046760,NAYTIZMLBT,NTT,14/04/2022,MLB TENERGY COMPANY LIMITED,"MLB TENERGY CO.,LTD, Yen Thanh IZ, Ward 2, Yen Thanh, Nghe An",VH,JPN,E,RR,07/11/2021,07/11/2020,06/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"217,466,208,378.00","217,466,208,378.00",20180404,,,20180404,,,,,,18.1AB,DIRECT HANOI,Clothes making,  ,,4,2022
10000528,20013426,VLLHHPTYXU,NTT,28/07/2022,CONG TY TNHH TY XUAN,"Cong ty TNHH Ty Xuan - Factory A, Hoa Phu IZ, Long Ho, Vinh Long",MS,TWN,D,RR,11/11/2021,11/11/2020,10/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"557,509,233,772.00","557,509,233,772.00",20150907,,,,,,20150907,,20130919,18.1CB,DIRECT-TAIWAN SOUTH ,Sport shoes,  ,,7,2022
10001725,20018777,SGD7TTDSEI,VKH,28/06/2022,"SEIWA ELECTRIC (VIETNAM) CO.,LTD","SEIWA ELECTRIC (VIETNAM) CO., LTD, Lot 8, Road 18,Tan Thuan EPZ,Tan Thuan Dong,Dist 7, HCMC",VC,JPN,E,RR,15/11/2021,15/11/2020,14/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"2,500,000.00","57,950,000,000.00",20191107,,20191107,,,20160805,,,,18.1AB,DIRECT HCM,Plastic Products Manufacturer,  ,,6,2022
10000864,20095451,HNMLQMI49H,,,"NIPPON KONPO VIETNAM CO., LTD","NIPPON KONPO VIETNAM CO., LTD, Lot 49H, Quang Minh IP, Me Linh, Ha Noi",VH,JPN,C,IF,18/10/2021,19/07/2021,18/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"233,350,000,000.00","233,350,000,000.00",,,,,,,,,,17.2A,DIRECT HANOI,Warehouse,  ,,,
10055429,20078590,SGD1LTT151,NNH,06/07/2022,VJ INTERNATIONAL LIMITED COMPANY,"VJ International Limited Company- Marukin Building, 15/1 Le Thanh Ton Str, Ben Nghe, District 1, HCMC",VC,JPN,D,RR,19/11/2021,19/11/2020,18/11/2021,ISR - INDUSTRIAL ALL RISKS,2,LOP - LOSS OF PROFIT,"189,600,000.00","41,696,832,000.00",,,,,,,,,,3.3A,DIRECT HCM,Restaurant,  ,,7,2022
10000052,20018765,SGBCLMXB22,NNH,04/10/2022,"HIEP PHAT CO., LTD","HIEP PHAT CO., LTD, B3-B22 Road 9, Le Minh Xuan IP, Binh Chanh Dist, HCMC",VC,JPN,D,RR,28/11/2021,28/11/2020,27/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"30,593,176,786.00","30,593,176,786.00",20191030,,20191030,,,20160907,,,,18.1AB,DIRECT HCM,Products related to industrial materials net,  ,,10,2022
10000056,20018913,SGD7TTIGMC,NNH,22/07/2022,"IGM CO., LTD","IGM Co., Ltd., Road 19, Tan Thuan EPZ, Tan Thuan Dong Ward,Dist 7, HCMC",VC,JPN,D,RR,29/11/2021,29/11/2020,28/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"607,851,795.00","127,815,428,342.00",20180703,,,20180703,,,20151019,,,18.1AB,DIRECT HCM,Production of baby wear,  ,,7,2022
10003884,20013902,VPBXQLTOHI,,,"TOYOTA HIROSHIMA VINH PHUC-HTCO., LTD","TOYOTA HIROSHIMA VINH PHUC - HT CO., LTD, Quat Luu Commune, Binh Xuyen Dist, Vinh Phuc",VH,JPN,D,RR,29/11/2021,29/11/2020,28/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"293,782,431,496.00","293,782,431,496.00",20151112,,,,,,20151112,,,8.2B,DIRECT HANOI,"Automobiles Trading, Repairing and Maintenance",  ,,,
10011781,20030164,SGCCTPTC58,CA,,NIPPON PAPER VIET HOA MY JOINTSTOCK COMPANY,"Nippon Paper Viet Hoa My JSC, Lot C5-8, N8 Street, Tan Phu Trung IZ, Cu Chi, HCMC",VC,JPN,E,RR,01/12/2021,01/12/2020,30/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"125,324,987,024.00","125,324,987,024.00",20201106,20201106,,,20171027,,,,,18.1AB,DIRECT HCM,Manufacturing and sales of paper cups,Manufacturing and sales of paper cups  ,"Last survey 2020, postpone to 2023",,
10000266,20017109,BDTDHPVSIP,CA,,"SAIGON STEC CO., LTD","SAIGON STEC CO., LTD, 7 VSIP II St7, VSIP 2, Hoa Phu Ward,Thu Dau Mot, Binh Duong",VC,JPN,C,RR,01/12/2021,01/12/2020,30/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"757,271,243.00","7,553,547,412,740.00",20160715,,,,,20160715,,,,18.1AB,MARSH-BRK-VC,As above,Manufacturing Electronic Parts  ,Survey report by Broker,,
10001761,20007280,HYYMTLVIET,TDH,28/06/2022,"VIETINAK CO., LTD","VIETINAK CO., LTD, Plot C-5, Thang Long 2 IP, Yen My, Hung Yen",VH,JPN,E,RR,01/12/2021,01/12/2020,30/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"20,023,899.00","464,153,978,820.00",20181130,,,20181130,,,20150304,,,18.1AB,DIRECT HANOI,Producing Automotive Spare Parts,  ,,6,2022
10000150,20001808,DNBHBHVIET,NNH,16/09/2022,"VIETNAM MEIWA CO., LTD.","VIETNAM MEIWA CO., LTD., No. 1, Road 1, Bien Hoa 2 IZ, Bien Hoa, Dong Nai",VC,JPN,C,IF,06/12/2020,01/12/2020,30/11/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"4,063,802,847.00","898,100,433,657.00",20180725,,,20180725,,,20151104,,20130925,18.2A,MARSH-BRK-VC,As above,  ,,9,2022
10000181,20019101,HNMLQML38G,,,"TOYOTA TSUSHO VIETNAM CO., LTD","Kintetsu Logistics (Vietnam) Inc, Lot 38G, Quang Minh IP, Me Linh, Ha Noi",VH,JPN,E,RR,04/12/2021,04/12/2020,03/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"50,527,200,000.00","50,527,200,000.00",20171123,,,,20171123,,20151210,,,17.1B,TOYOTA TSUSHO-BRK-VH,Trading,  ,,,
10016415,20038493,HNDTDV1CN7,,,FUJI ENGINEERING VIETNAM COMPANY LIMITED,"Fuji Engineering Vietnam Co., Ltd-Famille Ha Nam, Lot CN07,08 Dong Van 1 IP, Dong Van, Duy Tien, Ha Nam",VH,JPN,B,RR,06/12/2021,06/12/2020,05/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"342,733,998,633.00","342,733,998,633.00",,,,,,,,,,9.1A,DIRECT HANOI,As above,"Principally real estate, asset management, office and apartment management and other incidental activities thereto.",,,
10007989,20046552,BNTSVSR6L6,NTT,27/09/2022,"BAC NINH-BASED BRANCH OFFICE SHOEI VIETNAM CO., LTD","Mapletree Bonded warehouse - Phase 2, No. 9, Road 6,  VSIP Bac Ninh, Phu Chan, Tu Son, Bac Ninh",VH,JPN,D,RR,07/12/2021,07/12/2020,06/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"32,349,868,465.00","32,349,868,465.00",,,,,,,,,,18.1AB,DIRECT HANOI,Printing Industry,  ,,9,2022
10001007,20058678,SGHM79CDCK,CA,,"EIZO SHOES VIETNAM CO., LTD","EIZO SHOES VIETNAM CO., LTD, 79C Duong Cong Khi, Xuan Thoi Son, Hoc Mon, HCMC",VC,JPN,D,RR,09/12/2021,09/12/2020,08/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"23,198,096,273.00","23,198,096,273.00",,,,,,,,,,18.1CB,DIRECT HCM,Shoes Manufacturer,Shoes manufacturer  ,"Last survey 2020, postpone to 2023",,
10021198,20047414,BDBBBBLEED,MCN,19/10/2022,CONG TY TNHH LEEDA VIET NAM,"LEEDA VIETNAM CO., LTD, B7-B9-CN,B7-B10-CN,B7-11-CN, Bau Bang IZ, Bau Bang, Binh Duong",MS,TWN,D,RR,11/12/2021,11/12/2020,10/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"60,499,562,224.00","60,499,562,224.00",,,,,,,,,,18.1AB,DIRECT-TAIWAN SOUTH ,Manufacturing leather products,  ,,10,2022
10004382,20014450,BPLNLTH9HM,VKH,28/02/2022,HAPPY MERRY HOLDING INC,"HAPPY MERRY HOLDING INC., 9 Hamlet, Loc Thai Village, Loc Ninh Dist, Binh Phuoc",MS,TWN,C,RR,12/12/2021,12/12/2020,11/12/2021,FEC - FIRE AND EXPL COMP,1,FEC - COMPULSORY FIRE and EXPLOSION,"222,656,118,688.00","222,656,118,688.00",20181026,,,20181026,,20160706,,,,18.1AB,DIRECT-TAIWAN SOUTH ,Nut Processing Cashew,  ,,2,2022
10016609,20038575,HYMHMDDAIK,TDH,07/10/2022,HUNG YEN BRANCH-DAIKIN AIR CONDITIONING (VIETNAM) JSC,"DAIKIN AIR CONDITIONING (VIETNAM) JOINT STOCK, Plot Q1, Thang Long 2 IP, Phung Chi Kien, My Hao, Hung Yen",VH,JPN,C,RR,12/12/2021,12/12/2020,11/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"2,086,501,017,397.00","2,086,501,017,397.00",20181024,,,20181024,,,,,,18.2A,AON-BRK-VH,Manufacturing air-conditioner,Manufacturing air-conditioner  ,,10,2022
10000531,20010235,HNDATLNISS,TDH,23/06/2022,"NISSEI ELECTRIC HANOI CO., LTD.","NISSEI ELECTRIC HANOI CO., LTD, I-3, Thang Long IP, Dong Anh, Ha Noi",VH,JPN,C,IF,05/10/2021,16/12/2020,15/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"92,907,687.00","2,153,600,184,660.00",20121212,,,,,,,,,18.1AB,MARSH-BRK-VH,As described above,"Manufacturing pressure-heat rollers, cable assembly products, optical fiber ",,6,2022
10002605,20019169,SGBTKP3350,CA,,"FUJIX VIETNAM CO.,LTD","FUJIX VIETNAM, 350 Quoc lo 1A, KP3, Binh Hung Hoa B, Binh Tan, HCMC",VC,JPN,D,RR,17/12/2021,17/12/2020,16/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"1,000,000.00","23,200,000,000.00",20190917,,20190917,,,20160824,,,,17.1B,DIRECT HCM,Sales Company of Thread,Trading Company of Thread  ,"Last survey 2020, postpone to 2023",,
10001830,20018921,SGTDLT15N8,CA,,SB PEARL FASHION COMPANY LIMITED,"SB Pearl Fashion Company Limited, No.8, Street 15, Linh Trung, Thu Duc, HCMC",VC,JPN,D,RR,20/12/2021,20/12/2020,19/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"1,154,000.00","26,732,410,000.00",20160908,,,,,20160908,,,,18.1AB,DIRECT HCM,Garment,Garment  ,"Last survey 2020, postpone to 2023",,
10002913,20079727,DNBHTPIZHR,CA,,"HOMN REEN (VIETNAM) CO., LTD","HOMN REEN (VIETNAM), Road No. 8, Tam Phuoc IZ, Bien Hoa City, Dong Nai",MS,TWN,C,RR,25/12/2021,25/12/2020,24/12/2021,FEC - FIRE AND EXPL COMP,1,FEC - COMPULSORY FIRE and EXPLOSION,"231,916,287,006.00","231,916,287,006.00",,,,,,,,,,18.2A,DIRECT-TAIWAN SOUTH ,Small Screw Manufacturing,  ,Simple survey by MKT,,
10016252,20039107,BGVYVTSWAC,,,SWACOO VIETNAM COMPANY LIMITED,"SWACOO VIETNAM COMPANY LIMITED, CN10-5, Lot CN10, Van Trung IP, Viet Yen, Bac Giang",VH,HKD,C,RR,27/12/2021,27/12/2020,26/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"45,952,064,582.00","45,952,064,582.00",,,,,,,,,,18.1AB,DIRECT HANOI,Manufacturing and processing electronic,Manufacturing and processing electronic components  ,,,
10025777,20085217,HPTNVS1015,TDH,12/10/2022,CN CONG TY TNHH GREAT EASTERNRESINS INDUSTRIAL (VIET NAM),"GREAT EASTERN RESINS INDUSTRIAL (VN) CO., LTD, No.150, Road 10, VSIP Hai Phong, Thuy Nguyen, Hai Phong",MS,TWN,E,RR,31/12/2021,31/12/2020,30/12/2021,FEC - FIRE AND EXPL COMP,1,FEC - COMPULSORY FIRE and EXPLOSION,"54,231,947,166.00","54,231,947,166.00",,,,,,,,,,17.1B,DIRECT-TAIWAN SOUTH ,Glue of all kinds,  ,,10,2022
10001192,20004965,BDDASTGREA,MCN,26/10/2022,"GREAT EASTERN RESINS INDUSTRIAL (VN) CO., LTD","Great Eastern Resins Industrial (VN) Co., Ltd, No. 8, Road 17, Song Than 2 IP, Di An, Binh Duong",MS,TWN,E,RR,31/12/2021,31/12/2020,30/12/2021,FEC - FIRE AND EXPL COMP,1,FEC - COMPULSORY FIRE and EXPLOSION,"152,318,550,061.00","152,318,550,061.00",20190625,,20190625,,20171030,,20151023,,20131007,18.1AB,DIRECT-TAIWAN SOUTH ,Glue of all kinds,  ,,10,2022
10000700,20025045,SGPNMOEVEN,MCN,15/12/2022,A-1 INTERNATIONAL (VIETNAM) CORPORATION LIMITED,"MOEVENPICK HOTEL, 253 Nguyen Van Troi Street, Phu Nhuan District,, HCMC",VC,DEU,A,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"43,300,000.00","1,003,261,000,000.00",20171026,,,,20171026,,,,,9.1A,DIRECT HCM,As mentioned above,"Including but not limited to Hotel owners, Operators and Managers, Property Owners, Operators and Developers, Building Managers, Guided Tour Services and all other",,12,2022
10000182,20001846,DNBHIZ217A,NNH/MCN,17/11/2022,"AQUA ELECTRICAL APPLIANCES VIETNAM CO., LTD.","HAIER ELECTRICAL APPLIANCES VIETNAM CO LTD, No. 8, Street 17A, Bien Hoa 2 IZ, Bien Hoa City, Dong Nai",VC,JPN,C,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"1,646,201,498,902.00","1,646,201,498,902.00",20170816,,,,20170816,,,,,18.1AB,MARSH-BRK-VC,As described above,All activities of the Insured including but not limited to Manufacturing of Home appliances mainly and any other products of very description relating to the Insured's trade,,11,2022
10000262,20002393,BDDAB25556,NNH,15/07/2022,ASTI ELECTRONICS CORPORATION,"ASTI ELECTRONICS CORPORATION, B2-55,56 Road 1, Tan Dong Hiep B, Di An, Binh Duong",VC,JPN,C,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,5,ARB - PROPERTY ALL RISKS,"438,157,858,241.00","438,157,858,241.00",20180919,,,20180919,,,,,,18.2A,DIRECT HCM,Electronics parts,  ,,7,2022
10000059,20000481,HNMLQMASTI,,,ASTI ELECTRONICS HANOI CORPORATION,"ASTI ELECTRONICS HANOI CORPORATION, Lot 37, Quang Minh IZ, Me Linh, Ha Noi",VH,JPN,C,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"401,608,161,297.00","401,608,161,297.00",20180411,,,20180411,,,20151215,,,18.1AB,MARSH-BRK-VH,Manufacturing wire harness and PCB product,Manufacturing Wire harness and PCB product  ,,,
10001712,20007440,HPHADVIZRK,NTT,09/11/2022,CONG TY TNHH CO KHI RK,"RK ENGINEERING CO., LTD, Land plot CN3.2K,Dinh Vu IZ,Hai An Dist.,, Hai Phong",VH,JPN,C,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"10,243,103.00","237,025,403,420.00",20161103,,,,,20161103,,,,18.2A,DIRECT HANOI,Industrial Furnace Manufacturing,Industrial Furnace Manufacturing  ,,11,2022
10002756,20019501,SGD1LD29SG,,,CONG TY TNHH DAIBIRU SAIGON TOWER,"SAIGON TOWER, 29 Le Duan Boulevard, District 1, HCMC",VC,JPN,A,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"359,495,490,680.00","359,495,490,680.00",20161019,,,,,20161019,,,,10A,AEGIS INS BROKERS-BRK-VC,As mentioned above,"Property Owners, Office Building Managers and all other related activities incidental to the Insured's business ",,,
